CH_1_us,CH_1_v
10539999.690752,-4.800000
10560000.229376,-4.840000
10579999.719424,-4.800000
10600000.258048,-4.800000
10619999.748096,-4.800000
10640000.286720,-4.840000
10659999.776768,-4.880000
10680000.315392,-4.840000
10699999.805440,-4.840000
10720000.344064,-4.840000
10739999.834112,-4.840000
10760000.372736,-4.840000
10779999.862784,-4.840000
10800000.401408,-4.760000
10819999.891456,-4.800000
10840000.430080,-4.840000
10859999.920128,-4.840000
10880000.458752,-4.840000
10899999.948800,-4.840000
10920000.487424,-4.840000
10939999.977472,-4.760000
10960000.516096,-4.840000
10980000.006144,-4.840000
10999999.496192,-4.800000
11020000.034816,-4.800000
11039999.524864,-4.800000
11060000.063488,-4.840000
11079999.553536,-4.880000
11100000.092160,-4.840000
11119999.582208,-4.840000
11140000.120832,-4.800000
11159999.610880,-4.840000
11180000.149504,-4.840000
11199999.639552,-4.840000
11220000.178176,-4.680000
11239999.668224,-4.840000
11260000.206848,-4.800000
11279999.696896,-4.800000
11300000.235520,-4.880000
11319999.725568,-4.880000
11340000.264192,-4.800000
11359999.754240,-4.800000
11380000.292864,-4.840000
11399999.782912,-4.840000
11420000.321536,-4.840000
11439999.811584,-4.760000
11460000.350208,-4.840000
11479999.840256,-4.800000
11500000.378880,-4.840000
11519999.868928,-4.840000
11540000.407552,-4.840000
11559999.897600,-4.880000
11580000.436224,-4.800000
11599999.926272,-4.840000
11620000.464896,-4.600000
11639999.954944,-4.840000
11660000.493568,-4.960000
11679999.983616,-4.800000
11700000.522240,-4.840000
11720000.012288,-4.880000
11739999.502336,-4.840000
11760000.040960,-4.800000
11779999.531008,-4.840000
11800000.069632,-4.840000
11819999.559680,-4.800000
11840000.098304,-4.840000
11859999.588352,-4.840000
11880000.126976,-4.800000
11899999.617024,-4.840000
11920000.155648,-4.840000
11939999.645696,-4.800000
11960000.184320,-4.880000
11979999.674368,-4.840000
12000000.212992,-4.840000
12019999.703040,-4.840000
12040000.241664,-4.840000
12059999.731712,-4.800000
12080000.270336,-4.840000
12099999.760384,-4.760000
12120000.299008,-4.800000
12139999.789056,-4.840000
12160000.327680,-4.800000
12179999.817728,-4.840000
12200000.356352,-4.840000
12219999.846400,-4.840000
12240000.385024,-4.800000
12259999.875072,-4.840000
12280000.413696,-4.840000
12299999.903744,-4.840000
12320000.442368,-4.800000
12339999.932416,-4.880000
12360000.471040,-4.800000
12379999.961088,-4.880000
12400000.499712,-4.760000
12419999.989760,-4.800000
12439999.479808,-4.800000
12460000.018432,-4.880000
12479999.508480,-4.960000
12500000.047104,-4.840000
12519999.537152,-4.840000
12540000.075776,-4.840000
12559999.565824,-4.840000
12580000.104448,-4.800000
12599999.594496,-4.760000
12620000.133120,-4.840000
12639999.623168,-4.840000
12660000.161792,-4.800000
12679999.651840,-4.800000
12700000.190464,-4.760000
12719999.680512,-4.840000
12740000.219136,-4.800000
12759999.709184,-4.880000
12780000.247808,-4.840000
12799999.737856,-4.840000
12820000.276480,-4.920000
12839999.766528,-4.840000
12860000.305152,-4.840000
12879999.795200,-4.800000
12900000.333824,-4.840000
12919999.823872,-4.840000
12940000.362496,-4.800000
12959999.852544,-4.840000
12980000.391168,-4.720000
12999999.881216,-4.840000
13020000.419840,-4.840000
13039999.909888,-4.800000
13060000.448512,-4.840000
13079999.938560,-4.840000
13100000.477184,-4.880000
13119999.967232,-4.800000
13140000.505856,-4.800000
13159999.995904,-4.840000
13179999.485952,-4.840000
13200000.024576,-4.800000
13219999.514624,-4.840000
13240000.053248,-4.800000
13259999.543296,-4.840000
13280000.081920,-4.840000
13299999.571968,-4.840000
13320000.110592,-4.840000
13339999.600640,-4.800000
13360000.139264,-4.800000
13379999.629312,-4.800000
13400000.167936,-4.800000
13419999.657984,-4.840000
13440000.196608,-4.800000
